domain,aspect,sentiment,tweet_text
ride-sharing,ride cost,negative,Wish the ride cost on this ride-sharing was better.
ride-sharing,car cleanliness,positive,Totally satisfied with the car cleanliness—solid upgrade for the ride-sharing.
ride-sharing,wait time,positive,Totally satisfied with the wait time—solid upgrade for the ride-sharing.
restaurants,cleanliness,neutral,"Honestly, the cleanliness feels pretty average for a restaurants."
smartphones,performance,positive,"Hands down, this is the best performance I've experienced with any smartphones."
restaurants,cleanliness,positive,The cleanliness on this restaurants exceeded all expectations.
ride-sharing,car cleanliness,positive,I'm genuinely impressed with the car cleanliness on this ride-sharing.
e-commerce,packaging,positive,"Hands down, this is the best packaging I've experienced with any e-commerce."
ride-sharing,wait time,positive,I'm genuinely impressed with the wait time on this ride-sharing.
smartphones,design,positive,I'm genuinely impressed with the design on this smartphones.
ride-sharing,route efficiency,negative,This ride-sharing seriously dropped the ball on route efficiency.
e-commerce,product quality,negative,This e-commerce seriously dropped the ball on product quality.
smartphones,battery life,neutral,"Honestly, the battery life feels pretty average for a smartphones."
restaurants,ambience,positive,The ambience on this restaurants exceeded all expectations.
e-commerce,refund policy,positive,I'm genuinely impressed with the refund policy on this e-commerce.
restaurants,price,negative,Really disappointed by the price in this restaurants.
smartphones,camera,neutral,"Honestly, the camera feels pretty average for a smartphones."
ride-sharing,driver behavior,positive,Totally satisfied with the driver behavior—solid upgrade for the ride-sharing.
restaurants,ambience,positive,"Hands down, this is the best ambience I've experienced with any restaurants."
ride-sharing,wait time,negative,Wish the wait time on this ride-sharing was better.
smartphones,screen,negative,Wish the screen on this smartphones was better.
smartphones,battery life,positive,I'm genuinely impressed with the battery life on this smartphones.
e-commerce,customer support,positive,The customer support on this e-commerce exceeded all expectations.
restaurants,cleanliness,neutral,No real complaints or praise for the cleanliness of this restaurants.
ride-sharing,route efficiency,neutral,No real complaints or praise for the route efficiency of this ride-sharing.
streaming services,ads,negative,Really disappointed by the ads in this streaming services.
streaming services,content variety,neutral,"Honestly, the content variety feels pretty average for a streaming services."
e-commerce,delivery time,negative,Still can't get over how bad the delivery time is on this e-commerce.
e-commerce,customer support,positive,Absolutely loving the customer support of my new e-commerce.
smartphones,design,positive,Totally satisfied with the design—solid upgrade for the smartphones.
e-commerce,customer support,neutral,No real complaints or praise for the customer support of this e-commerce.
restaurants,price,negative,The price totally ruined my experience with this restaurants.
e-commerce,refund policy,positive,"Hands down, this is the best refund policy I've experienced with any e-commerce."
streaming services,content variety,positive,I'm genuinely impressed with the content variety on this streaming services.
smartphones,design,neutral,Not much to say about the design—it's just fine.
streaming services,video quality,positive,Totally satisfied with the video quality—solid upgrade for the streaming services.
smartphones,design,negative,Still can't get over how bad the design is on this smartphones.
e-commerce,customer support,neutral,"Honestly, the customer support feels pretty average for a e-commerce."
e-commerce,product quality,neutral,"Honestly, the product quality feels pretty average for a e-commerce."
restaurants,cleanliness,neutral,"The cleanliness on the restaurants is okay, I guess."
restaurants,cleanliness,negative,The cleanliness totally ruined my experience with this restaurants.
ride-sharing,ride cost,positive,Absolutely loving the ride cost of my new ride-sharing.
e-commerce,packaging,neutral,"The packaging on the e-commerce is okay, I guess."
ride-sharing,route efficiency,positive,"Hands down, this is the best route efficiency I've experienced with any ride-sharing."
streaming services,content variety,positive,Absolutely loving the content variety of my new streaming services.
streaming services,app experience,negative,Still can't get over how bad the app experience is on this streaming services.
streaming services,app experience,positive,The app experience on this streaming services exceeded all expectations.
restaurants,service,positive,I'm genuinely impressed with the service on this restaurants.
restaurants,price,neutral,"Honestly, the price feels pretty average for a restaurants."
restaurants,cleanliness,negative,Wish the cleanliness on this restaurants was better.
smartphones,design,positive,The design on this smartphones exceeded all expectations.
e-commerce,packaging,negative,This e-commerce seriously dropped the ball on packaging.
restaurants,food quality,positive,Absolutely loving the food quality of my new restaurants.
e-commerce,packaging,positive,Absolutely loving the packaging of my new e-commerce.
restaurants,food quality,negative,Really disappointed by the food quality in this restaurants.
restaurants,price,neutral,"Honestly, the price feels pretty average for a restaurants."
smartphones,performance,positive,I'm genuinely impressed with the performance on this smartphones.
streaming services,app experience,positive,The app experience on this streaming services exceeded all expectations.
streaming services,subscription price,positive,The subscription price on this streaming services exceeded all expectations.
smartphones,performance,neutral,Not much to say about the performance—it's just fine.
e-commerce,refund policy,neutral,No real complaints or praise for the refund policy of this e-commerce.
streaming services,subscription price,negative,Really disappointed by the subscription price in this streaming services.
smartphones,battery life,neutral,"The smartphones's battery life does the job, nothing exciting."
streaming services,content variety,negative,The content variety totally ruined my experience with this streaming services.
restaurants,price,neutral,"The price on the restaurants is okay, I guess."
e-commerce,product quality,positive,Absolutely loving the product quality of my new e-commerce.
e-commerce,delivery time,negative,Still can't get over how bad the delivery time is on this e-commerce.
streaming services,ads,negative,The ads totally ruined my experience with this streaming services.
streaming services,content variety,negative,Really disappointed by the content variety in this streaming services.
ride-sharing,route efficiency,negative,The route efficiency totally ruined my experience with this ride-sharing.
ride-sharing,driver behavior,neutral,"The driver behavior on the ride-sharing is okay, I guess."
smartphones,screen,neutral,"Honestly, the screen feels pretty average for a smartphones."
ride-sharing,ride cost,negative,Still can't get over how bad the ride cost is on this ride-sharing.
streaming services,ads,negative,This streaming services seriously dropped the ball on ads.
restaurants,cleanliness,positive,The cleanliness on this restaurants exceeded all expectations.
ride-sharing,driver behavior,neutral,Not much to say about the driver behavior—it's just fine.
restaurants,price,positive,Totally satisfied with the price—solid upgrade for the restaurants.
ride-sharing,car cleanliness,neutral,Not much to say about the car cleanliness—it's just fine.
ride-sharing,ride cost,negative,The ride cost totally ruined my experience with this ride-sharing.
smartphones,camera,positive,Absolutely loving the camera of my new smartphones.
streaming services,app experience,negative,This streaming services seriously dropped the ball on app experience.
ride-sharing,wait time,neutral,Not much to say about the wait time—it's just fine.
smartphones,battery life,neutral,Not much to say about the battery life—it's just fine.
streaming services,subscription price,neutral,"The subscription price on the streaming services is okay, I guess."
e-commerce,packaging,neutral,"Honestly, the packaging feels pretty average for a e-commerce."
smartphones,camera,neutral,Not much to say about the camera—it's just fine.
restaurants,food quality,neutral,Not much to say about the food quality—it's just fine.
e-commerce,customer support,positive,I'm genuinely impressed with the customer support on this e-commerce.
streaming services,subscription price,negative,The subscription price totally ruined my experience with this streaming services.
ride-sharing,car cleanliness,neutral,"The car cleanliness on the ride-sharing is okay, I guess."
e-commerce,delivery time,negative,This e-commerce seriously dropped the ball on delivery time.
streaming services,ads,positive,Absolutely loving the ads of my new streaming services.
restaurants,service,neutral,"The restaurants's service does the job, nothing exciting."
e-commerce,packaging,positive,The packaging on this e-commerce exceeded all expectations.
smartphones,performance,neutral,No real complaints or praise for the performance of this smartphones.
e-commerce,refund policy,negative,This e-commerce seriously dropped the ball on refund policy.
streaming services,ads,neutral,"The ads on the streaming services is okay, I guess."
ride-sharing,route efficiency,positive,Absolutely loving the route efficiency of my new ride-sharing.
smartphones,screen,negative,Really disappointed by the screen in this smartphones.
smartphones,performance,negative,Still can't get over how bad the performance is on this smartphones.
ride-sharing,driver behavior,negative,Really disappointed by the driver behavior in this ride-sharing.
restaurants,ambience,positive,"Hands down, this is the best ambience I've experienced with any restaurants."
smartphones,camera,neutral,Not much to say about the camera—it's just fine.
streaming services,content variety,positive,"Hands down, this is the best content variety I've experienced with any streaming services."
ride-sharing,ride cost,negative,Still can't get over how bad the ride cost is on this ride-sharing.
e-commerce,customer support,neutral,"The e-commerce's customer support does the job, nothing exciting."
ride-sharing,ride cost,positive,"Hands down, this is the best ride cost I've experienced with any ride-sharing."
ride-sharing,car cleanliness,neutral,"The ride-sharing's car cleanliness does the job, nothing exciting."
ride-sharing,route efficiency,negative,The route efficiency totally ruined my experience with this ride-sharing.
e-commerce,packaging,neutral,"The e-commerce's packaging does the job, nothing exciting."
restaurants,cleanliness,neutral,"The restaurants's cleanliness does the job, nothing exciting."
e-commerce,packaging,neutral,"Honestly, the packaging feels pretty average for a e-commerce."
streaming services,ads,positive,Absolutely loving the ads of my new streaming services.
ride-sharing,wait time,negative,Wish the wait time on this ride-sharing was better.
smartphones,camera,positive,"Hands down, this is the best camera I've experienced with any smartphones."
streaming services,subscription price,neutral,"The streaming services's subscription price does the job, nothing exciting."
streaming services,content variety,positive,"Hands down, this is the best content variety I've experienced with any streaming services."
restaurants,cleanliness,neutral,Not much to say about the cleanliness—it's just fine.
e-commerce,delivery time,neutral,"The delivery time on the e-commerce is okay, I guess."
e-commerce,refund policy,positive,Totally satisfied with the refund policy—solid upgrade for the e-commerce.
smartphones,camera,neutral,"The camera on the smartphones is okay, I guess."
ride-sharing,car cleanliness,neutral,Not much to say about the car cleanliness—it's just fine.
streaming services,video quality,neutral,Not much to say about the video quality—it's just fine.
restaurants,price,negative,The price totally ruined my experience with this restaurants.
streaming services,ads,neutral,"Honestly, the ads feels pretty average for a streaming services."
smartphones,battery life,positive,Absolutely loving the battery life of my new smartphones.
smartphones,screen,positive,I'm genuinely impressed with the screen on this smartphones.
ride-sharing,ride cost,negative,The ride cost totally ruined my experience with this ride-sharing.
streaming services,app experience,negative,This streaming services seriously dropped the ball on app experience.
restaurants,ambience,negative,The ambience totally ruined my experience with this restaurants.
ride-sharing,route efficiency,neutral,Not much to say about the route efficiency—it's just fine.
restaurants,price,neutral,"Honestly, the price feels pretty average for a restaurants."
ride-sharing,driver behavior,negative,This ride-sharing seriously dropped the ball on driver behavior.
smartphones,performance,neutral,No real complaints or praise for the performance of this smartphones.
streaming services,app experience,positive,"Hands down, this is the best app experience I've experienced with any streaming services."
restaurants,service,positive,I'm genuinely impressed with the service on this restaurants.
e-commerce,refund policy,neutral,Not much to say about the refund policy—it's just fine.
restaurants,service,negative,Still can't get over how bad the service is on this restaurants.
smartphones,battery life,neutral,"The smartphones's battery life does the job, nothing exciting."
e-commerce,product quality,negative,Really disappointed by the product quality in this e-commerce.
smartphones,performance,negative,The performance totally ruined my experience with this smartphones.
streaming services,ads,negative,Wish the ads on this streaming services was better.
e-commerce,packaging,neutral,Not much to say about the packaging—it's just fine.
restaurants,cleanliness,positive,Totally satisfied with the cleanliness—solid upgrade for the restaurants.
e-commerce,refund policy,neutral,Not much to say about the refund policy—it's just fine.
streaming services,subscription price,negative,Still can't get over how bad the subscription price is on this streaming services.
restaurants,cleanliness,negative,Still can't get over how bad the cleanliness is on this restaurants.
smartphones,battery life,negative,Wish the battery life on this smartphones was better.
streaming services,subscription price,negative,Really disappointed by the subscription price in this streaming services.
ride-sharing,wait time,negative,The wait time totally ruined my experience with this ride-sharing.
ride-sharing,wait time,neutral,"Honestly, the wait time feels pretty average for a ride-sharing."
e-commerce,product quality,neutral,No real complaints or praise for the product quality of this e-commerce.
smartphones,battery life,neutral,"Honestly, the battery life feels pretty average for a smartphones."
streaming services,video quality,positive,I'm genuinely impressed with the video quality on this streaming services.
smartphones,battery life,positive,Totally satisfied with the battery life—solid upgrade for the smartphones.
restaurants,price,negative,Wish the price on this restaurants was better.
ride-sharing,route efficiency,neutral,"The ride-sharing's route efficiency does the job, nothing exciting."
smartphones,performance,negative,Wish the performance on this smartphones was better.
smartphones,screen,positive,I'm genuinely impressed with the screen on this smartphones.
streaming services,app experience,positive,Totally satisfied with the app experience—solid upgrade for the streaming services.
streaming services,content variety,negative,The content variety totally ruined my experience with this streaming services.
e-commerce,product quality,neutral,Not much to say about the product quality—it's just fine.
smartphones,battery life,neutral,Not much to say about the battery life—it's just fine.
e-commerce,delivery time,neutral,"The delivery time on the e-commerce is okay, I guess."
restaurants,service,positive,Absolutely loving the service of my new restaurants.
e-commerce,customer support,negative,Really disappointed by the customer support in this e-commerce.
smartphones,camera,positive,I'm genuinely impressed with the camera on this smartphones.
restaurants,price,positive,Absolutely loving the price of my new restaurants.
restaurants,cleanliness,positive,"Hands down, this is the best cleanliness I've experienced with any restaurants."
smartphones,battery life,positive,Absolutely loving the battery life of my new smartphones.
smartphones,performance,neutral,"The smartphones's performance does the job, nothing exciting."
smartphones,performance,neutral,"The smartphones's performance does the job, nothing exciting."
ride-sharing,ride cost,neutral,Not much to say about the ride cost—it's just fine.
ride-sharing,car cleanliness,positive,I'm genuinely impressed with the car cleanliness on this ride-sharing.
ride-sharing,ride cost,neutral,No real complaints or praise for the ride cost of this ride-sharing.
streaming services,video quality,negative,Wish the video quality on this streaming services was better.
streaming services,content variety,neutral,No real complaints or praise for the content variety of this streaming services.
smartphones,camera,negative,Still can't get over how bad the camera is on this smartphones.
ride-sharing,ride cost,negative,Still can't get over how bad the ride cost is on this ride-sharing.
ride-sharing,driver behavior,negative,Wish the driver behavior on this ride-sharing was better.
restaurants,cleanliness,negative,Really disappointed by the cleanliness in this restaurants.
e-commerce,packaging,positive,"Hands down, this is the best packaging I've experienced with any e-commerce."
restaurants,price,negative,Wish the price on this restaurants was better.
streaming services,app experience,neutral,"The streaming services's app experience does the job, nothing exciting."
smartphones,battery life,neutral,"The battery life on the smartphones is okay, I guess."
e-commerce,product quality,neutral,"The e-commerce's product quality does the job, nothing exciting."
ride-sharing,wait time,neutral,No real complaints or praise for the wait time of this ride-sharing.
ride-sharing,driver behavior,positive,"Hands down, this is the best driver behavior I've experienced with any ride-sharing."
restaurants,price,neutral,"Honestly, the price feels pretty average for a restaurants."
smartphones,camera,neutral,Not much to say about the camera—it's just fine.
streaming services,ads,positive,The ads on this streaming services exceeded all expectations.
ride-sharing,driver behavior,neutral,"The driver behavior on the ride-sharing is okay, I guess."
restaurants,food quality,positive,The food quality on this restaurants exceeded all expectations.
e-commerce,customer support,negative,The customer support totally ruined my experience with this e-commerce.
streaming services,content variety,positive,Totally satisfied with the content variety—solid upgrade for the streaming services.
e-commerce,product quality,negative,The product quality totally ruined my experience with this e-commerce.
streaming services,subscription price,negative,Really disappointed by the subscription price in this streaming services.
ride-sharing,ride cost,neutral,No real complaints or praise for the ride cost of this ride-sharing.
restaurants,cleanliness,negative,Really disappointed by the cleanliness in this restaurants.
streaming services,subscription price,neutral,"Honestly, the subscription price feels pretty average for a streaming services."
e-commerce,refund policy,neutral,No real complaints or praise for the refund policy of this e-commerce.
smartphones,screen,negative,Wish the screen on this smartphones was better.
e-commerce,refund policy,positive,The refund policy on this e-commerce exceeded all expectations.
e-commerce,packaging,neutral,Not much to say about the packaging—it's just fine.
streaming services,video quality,neutral,Not much to say about the video quality—it's just fine.
streaming services,video quality,positive,The video quality on this streaming services exceeded all expectations.
streaming services,content variety,neutral,"Honestly, the content variety feels pretty average for a streaming services."
smartphones,battery life,neutral,"The smartphones's battery life does the job, nothing exciting."
e-commerce,customer support,negative,Really disappointed by the customer support in this e-commerce.
streaming services,ads,negative,Still can't get over how bad the ads is on this streaming services.
smartphones,screen,positive,Absolutely loving the screen of my new smartphones.
ride-sharing,car cleanliness,positive,Totally satisfied with the car cleanliness—solid upgrade for the ride-sharing.
ride-sharing,ride cost,negative,Still can't get over how bad the ride cost is on this ride-sharing.
restaurants,price,negative,The price totally ruined my experience with this restaurants.
ride-sharing,wait time,positive,I'm genuinely impressed with the wait time on this ride-sharing.
smartphones,performance,negative,This smartphones seriously dropped the ball on performance.
smartphones,screen,positive,I'm genuinely impressed with the screen on this smartphones.
streaming services,app experience,neutral,"Honestly, the app experience feels pretty average for a streaming services."
smartphones,battery life,neutral,"The battery life on the smartphones is okay, I guess."
smartphones,performance,positive,"Hands down, this is the best performance I've experienced with any smartphones."
smartphones,design,positive,"Hands down, this is the best design I've experienced with any smartphones."
ride-sharing,route efficiency,negative,The route efficiency totally ruined my experience with this ride-sharing.
e-commerce,delivery time,neutral,"Honestly, the delivery time feels pretty average for a e-commerce."
streaming services,ads,negative,Still can't get over how bad the ads is on this streaming services.
e-commerce,product quality,neutral,No real complaints or praise for the product quality of this e-commerce.
smartphones,camera,neutral,Not much to say about the camera—it's just fine.
ride-sharing,car cleanliness,positive,Totally satisfied with the car cleanliness—solid upgrade for the ride-sharing.
smartphones,performance,neutral,Not much to say about the performance—it's just fine.
restaurants,cleanliness,neutral,No real complaints or praise for the cleanliness of this restaurants.
ride-sharing,driver behavior,negative,Still can't get over how bad the driver behavior is on this ride-sharing.
ride-sharing,driver behavior,negative,Still can't get over how bad the driver behavior is on this ride-sharing.
smartphones,camera,negative,Wish the camera on this smartphones was better.
streaming services,app experience,positive,"Hands down, this is the best app experience I've experienced with any streaming services."
e-commerce,delivery time,negative,The delivery time totally ruined my experience with this e-commerce.
e-commerce,product quality,negative,Still can't get over how bad the product quality is on this e-commerce.
smartphones,battery life,neutral,"Honestly, the battery life feels pretty average for a smartphones."
e-commerce,customer support,positive,"Hands down, this is the best customer support I've experienced with any e-commerce."
smartphones,screen,negative,The screen totally ruined my experience with this smartphones.
restaurants,cleanliness,neutral,Not much to say about the cleanliness—it's just fine.
restaurants,service,negative,Still can't get over how bad the service is on this restaurants.
e-commerce,delivery time,positive,Totally satisfied with the delivery time—solid upgrade for the e-commerce.
streaming services,app experience,negative,The app experience totally ruined my experience with this streaming services.
streaming services,video quality,neutral,No real complaints or praise for the video quality of this streaming services.
e-commerce,product quality,neutral,"The e-commerce's product quality does the job, nothing exciting."
streaming services,app experience,positive,The app experience on this streaming services exceeded all expectations.
streaming services,subscription price,neutral,Not much to say about the subscription price—it's just fine.
smartphones,screen,positive,Absolutely loving the screen of my new smartphones.
restaurants,cleanliness,negative,Really disappointed by the cleanliness in this restaurants.
smartphones,design,neutral,"The design on the smartphones is okay, I guess."
streaming services,subscription price,neutral,"The subscription price on the streaming services is okay, I guess."
streaming services,subscription price,neutral,"Honestly, the subscription price feels pretty average for a streaming services."
ride-sharing,wait time,neutral,"Honestly, the wait time feels pretty average for a ride-sharing."
e-commerce,delivery time,neutral,"The delivery time on the e-commerce is okay, I guess."
streaming services,content variety,positive,Totally satisfied with the content variety—solid upgrade for the streaming services.
restaurants,service,neutral,"The service on the restaurants is okay, I guess."
smartphones,performance,neutral,"The smartphones's performance does the job, nothing exciting."
restaurants,service,negative,This restaurants seriously dropped the ball on service.
e-commerce,packaging,neutral,No real complaints or praise for the packaging of this e-commerce.
ride-sharing,wait time,positive,I'm genuinely impressed with the wait time on this ride-sharing.
e-commerce,refund policy,negative,Really disappointed by the refund policy in this e-commerce.
ride-sharing,ride cost,negative,Wish the ride cost on this ride-sharing was better.
restaurants,service,negative,Really disappointed by the service in this restaurants.
streaming services,ads,neutral,Not much to say about the ads—it's just fine.
restaurants,service,neutral,Not much to say about the service—it's just fine.
ride-sharing,route efficiency,positive,Absolutely loving the route efficiency of my new ride-sharing.
restaurants,price,negative,The price totally ruined my experience with this restaurants.
e-commerce,product quality,negative,Wish the product quality on this e-commerce was better.
e-commerce,customer support,negative,Still can't get over how bad the customer support is on this e-commerce.
ride-sharing,driver behavior,negative,The driver behavior totally ruined my experience with this ride-sharing.
restaurants,cleanliness,negative,Still can't get over how bad the cleanliness is on this restaurants.
ride-sharing,wait time,negative,Wish the wait time on this ride-sharing was better.
smartphones,battery life,positive,Absolutely loving the battery life of my new smartphones.
streaming services,app experience,neutral,"The streaming services's app experience does the job, nothing exciting."
restaurants,food quality,negative,The food quality totally ruined my experience with this restaurants.
e-commerce,refund policy,negative,Still can't get over how bad the refund policy is on this e-commerce.
e-commerce,refund policy,positive,Totally satisfied with the refund policy—solid upgrade for the e-commerce.
restaurants,food quality,positive,Totally satisfied with the food quality—solid upgrade for the restaurants.
ride-sharing,car cleanliness,negative,Really disappointed by the car cleanliness in this ride-sharing.
smartphones,design,negative,Really disappointed by the design in this smartphones.
ride-sharing,driver behavior,negative,Really disappointed by the driver behavior in this ride-sharing.
smartphones,screen,negative,The screen totally ruined my experience with this smartphones.
restaurants,cleanliness,neutral,"The cleanliness on the restaurants is okay, I guess."
streaming services,content variety,negative,Really disappointed by the content variety in this streaming services.
e-commerce,product quality,positive,Totally satisfied with the product quality—solid upgrade for the e-commerce.
ride-sharing,ride cost,positive,"Hands down, this is the best ride cost I've experienced with any ride-sharing."
streaming services,content variety,neutral,"Honestly, the content variety feels pretty average for a streaming services."
streaming services,subscription price,positive,Absolutely loving the subscription price of my new streaming services.
e-commerce,packaging,neutral,Not much to say about the packaging—it's just fine.
streaming services,subscription price,positive,I'm genuinely impressed with the subscription price on this streaming services.
restaurants,food quality,negative,Wish the food quality on this restaurants was better.
smartphones,performance,neutral,"The performance on the smartphones is okay, I guess."
streaming services,subscription price,neutral,Not much to say about the subscription price—it's just fine.
smartphones,screen,neutral,"Honestly, the screen feels pretty average for a smartphones."
e-commerce,product quality,negative,Still can't get over how bad the product quality is on this e-commerce.
streaming services,video quality,positive,The video quality on this streaming services exceeded all expectations.
e-commerce,packaging,negative,Really disappointed by the packaging in this e-commerce.
e-commerce,delivery time,negative,This e-commerce seriously dropped the ball on delivery time.
e-commerce,packaging,negative,Wish the packaging on this e-commerce was better.
smartphones,screen,neutral,"The smartphones's screen does the job, nothing exciting."
smartphones,battery life,negative,The battery life totally ruined my experience with this smartphones.
restaurants,cleanliness,neutral,"The cleanliness on the restaurants is okay, I guess."
restaurants,price,neutral,Not much to say about the price—it's just fine.
e-commerce,customer support,positive,I'm genuinely impressed with the customer support on this e-commerce.
smartphones,performance,neutral,"The performance on the smartphones is okay, I guess."
ride-sharing,ride cost,negative,Wish the ride cost on this ride-sharing was better.
streaming services,app experience,positive,Totally satisfied with the app experience—solid upgrade for the streaming services.
streaming services,ads,neutral,No real complaints or praise for the ads of this streaming services.
ride-sharing,wait time,neutral,"The wait time on the ride-sharing is okay, I guess."
restaurants,ambience,neutral,Not much to say about the ambience—it's just fine.
streaming services,app experience,positive,I'm genuinely impressed with the app experience on this streaming services.
e-commerce,product quality,negative,Wish the product quality on this e-commerce was better.
ride-sharing,wait time,positive,"Hands down, this is the best wait time I've experienced with any ride-sharing."
smartphones,screen,positive,Absolutely loving the screen of my new smartphones.
ride-sharing,car cleanliness,neutral,"The car cleanliness on the ride-sharing is okay, I guess."
e-commerce,delivery time,positive,Absolutely loving the delivery time of my new e-commerce.
restaurants,price,negative,Still can't get over how bad the price is on this restaurants.
smartphones,performance,neutral,"Honestly, the performance feels pretty average for a smartphones."
smartphones,camera,negative,Still can't get over how bad the camera is on this smartphones.
streaming services,ads,neutral,No real complaints or praise for the ads of this streaming services.
ride-sharing,ride cost,positive,"Hands down, this is the best ride cost I've experienced with any ride-sharing."
ride-sharing,ride cost,neutral,"Honestly, the ride cost feels pretty average for a ride-sharing."
ride-sharing,ride cost,negative,Wish the ride cost on this ride-sharing was better.
restaurants,food quality,negative,The food quality totally ruined my experience with this restaurants.
restaurants,ambience,positive,The ambience on this restaurants exceeded all expectations.
e-commerce,product quality,positive,I'm genuinely impressed with the product quality on this e-commerce.
smartphones,design,negative,The design totally ruined my experience with this smartphones.
restaurants,service,positive,I'm genuinely impressed with the service on this restaurants.
e-commerce,packaging,positive,I'm genuinely impressed with the packaging on this e-commerce.
smartphones,design,neutral,"The design on the smartphones is okay, I guess."
restaurants,food quality,neutral,Not much to say about the food quality—it's just fine.
e-commerce,packaging,neutral,Not much to say about the packaging—it's just fine.
smartphones,screen,neutral,"The smartphones's screen does the job, nothing exciting."
smartphones,camera,neutral,No real complaints or praise for the camera of this smartphones.
streaming services,ads,neutral,Not much to say about the ads—it's just fine.
smartphones,battery life,neutral,No real complaints or praise for the battery life of this smartphones.
ride-sharing,wait time,positive,Totally satisfied with the wait time—solid upgrade for the ride-sharing.
streaming services,ads,negative,This streaming services seriously dropped the ball on ads.
smartphones,design,neutral,"The design on the smartphones is okay, I guess."
ride-sharing,ride cost,neutral,No real complaints or praise for the ride cost of this ride-sharing.
streaming services,app experience,neutral,No real complaints or praise for the app experience of this streaming services.
restaurants,ambience,positive,Absolutely loving the ambience of my new restaurants.
ride-sharing,route efficiency,negative,This ride-sharing seriously dropped the ball on route efficiency.
restaurants,food quality,neutral,"The restaurants's food quality does the job, nothing exciting."
e-commerce,packaging,neutral,No real complaints or praise for the packaging of this e-commerce.
smartphones,performance,positive,Absolutely loving the performance of my new smartphones.
streaming services,subscription price,negative,Wish the subscription price on this streaming services was better.
streaming services,ads,neutral,No real complaints or praise for the ads of this streaming services.
smartphones,battery life,neutral,"The smartphones's battery life does the job, nothing exciting."
ride-sharing,car cleanliness,negative,Really disappointed by the car cleanliness in this ride-sharing.
streaming services,ads,positive,Absolutely loving the ads of my new streaming services.
streaming services,app experience,neutral,"The streaming services's app experience does the job, nothing exciting."
streaming services,content variety,negative,Wish the content variety on this streaming services was better.
smartphones,design,neutral,Not much to say about the design—it's just fine.
streaming services,app experience,positive,The app experience on this streaming services exceeded all expectations.
smartphones,camera,neutral,Not much to say about the camera—it's just fine.
ride-sharing,wait time,negative,The wait time totally ruined my experience with this ride-sharing.
ride-sharing,driver behavior,negative,The driver behavior totally ruined my experience with this ride-sharing.
streaming services,app experience,negative,Wish the app experience on this streaming services was better.
ride-sharing,ride cost,negative,The ride cost totally ruined my experience with this ride-sharing.
ride-sharing,wait time,positive,I'm genuinely impressed with the wait time on this ride-sharing.
smartphones,design,positive,The design on this smartphones exceeded all expectations.
ride-sharing,car cleanliness,neutral,"The car cleanliness on the ride-sharing is okay, I guess."
streaming services,subscription price,positive,I'm genuinely impressed with the subscription price on this streaming services.
restaurants,cleanliness,negative,This restaurants seriously dropped the ball on cleanliness.
streaming services,subscription price,neutral,"Honestly, the subscription price feels pretty average for a streaming services."
restaurants,service,positive,Totally satisfied with the service—solid upgrade for the restaurants.
streaming services,ads,positive,Totally satisfied with the ads—solid upgrade for the streaming services.
streaming services,video quality,positive,The video quality on this streaming services exceeded all expectations.
e-commerce,delivery time,neutral,Not much to say about the delivery time—it's just fine.
smartphones,screen,negative,Really disappointed by the screen in this smartphones.
